,subj,TaskType,SentStruct,Lang_ACC,whichfirst,SStype,QLang1_firstsubj,QLang2_firstsubj,QLang
1,102,Dual,ORC,0,LangFirst,high,yes,no,QLang2
2,102,Dual,ORC,1,MusicFirst,high,no,yes,QLang2
3,102,Dual,ORC,0,MusicFirst,high,yes,no,QLang1
4,102,Dual,ORC,0,LangFirst,high,no,yes,QLang2
5,102,Dual,ORC,0,MusicFirst,high,no,yes,QLang2
6,102,Dual,ORC,1,MusicFirst,high,yes,no,QLang1
7,102,Dual,ORC,1,LangFirst,high,yes,no,QLang2
8,102,Dual,ORC,1,LangFirst,high,no,yes,QLang2
9,102,Dual,ORC,1,LangFirst,high,yes,no,QLang2
10,102,Dual,ORC,1,LangFirst,high,no,yes,QLang1
11,102,Dual,ORC,1,MusicFirst,high,yes,no,QLang1
12,102,Dual,ORC,1,LangFirst,high,yes,no,QLang2
13,102,Dual,ORC,0,LangFirst,high,yes,no,QLang2
14,102,Dual,ORC,1,LangFirst,high,no,yes,QLang2
15,102,Dual,ORC,1,LangFirst,high,yes,no,QLang1
16,102,Dual,ORC,0,MusicFirst,high,no,yes,QLang1
17,102,Dual,ORC,1,LangFirst,high,no,yes,QLang1
18,102,Dual,ORC,1,LangFirst,high,yes,no,QLang1
19,102,Dual,SE,1,MusicFirst,low,yes,no,QLang2
20,102,Dual,SE,1,MusicFirst,low,yes,no,QLang2
21,102,Dual,SE,1,MusicFirst,low,no,yes,QLang1
22,102,Dual,SE,1,LangFirst,low,yes,no,QLang1
23,102,Dual,SE,1,MusicFirst,low,no,no,QLang1
24,102,Dual,SE,1,LangFirst,low,yes,no,QLang1
25,102,Dual,SE,1,MusicFirst,low,yes,no,QLang1
26,102,Dual,SE,1,MusicFirst,low,yes,no,QLang2
27,102,Dual,SE,1,MusicFirst,low,yes,no,QLang2
28,102,Dual,SE,1,MusicFirst,low,no,yes,QLang1
29,102,Dual,SE,1,LangFirst,low,no,yes,QLang1
30,102,Dual,SE,0,MusicFirst,low,no,yes,QLang2
31,102,Dual,SE,0,MusicFirst,low,no,yes,QLang1
32,102,Dual,SE,1,LangFirst,low,yes,no,QLang1
33,102,Dual,SE,1,LangFirst,low,no,yes,QLang1
34,102,Dual,SE,1,LangFirst,low,no,yes,QLang2
35,102,Dual,SE,0,MusicFirst,low,no,yes,QLang2
36,102,Dual,SE,1,MusicFirst,low,yes,no,QLang1
37,102,Dual,SRC1,0,MusicFirst,low,no,yes,QLang1
38,102,Dual,SRC1,0,LangFirst,low,no,yes,QLang1
39,102,Dual,SRC1,1,LangFirst,low,no,yes,QLang1
40,102,Dual,SRC1,1,MusicFirst,low,yes,no,QLang1
41,102,Dual,SRC1,1,LangFirst,low,no,yes,QLang1
