"","subj","TaskType","Music_resp","whichfirst","ReturnStay","PivotPlace","ReturnPlace","PivRetDist"
"1","102","Dual",5,"LangFirst","stay","p2","r6","4"
"2","102","Dual",5,"MusicFirst","return","p3","r6","3"
"3","102","Dual",6,"MusicFirst","stay","p4","r6","2"
"4","102","Dual",6,"LangFirst","stay","p2","r6","4"
"5","102","Dual",6,"MusicFirst","return","p3","r6","3"
"6","102","Dual",5,"MusicFirst","stay","p4","r6","2"
"7","102","Dual",0,"LangFirst","return","p2","r7","5"
"8","102","Dual",6,"LangFirst","stay","p3","r7","4"
"9","102","Dual",3,"LangFirst","return","p4","r7","3"
"10","102","Dual",5,"LangFirst","return","p2","r7","5"
"11","102","Dual",6,"MusicFirst","stay","p3","r7","4"
"12","102","Dual",5,"LangFirst","return","p4","r7","3"
"13","102","Dual",0,"LangFirst","stay","p2","r8","6"
"14","102","Dual",5,"LangFirst","return","p3","r8","5"
"15","102","Dual",6,"LangFirst","stay","p4","r8","4"
"16","102","Dual",5,"MusicFirst","stay","p2","r8","6"
"17","102","Dual",6,"LangFirst","return","p3","r8","5"
"18","102","Dual",6,"LangFirst","stay","p4","r8","4"
"19","102","Dual",6,"MusicFirst","return","p2","r6","4"
"20","102","Dual",5,"MusicFirst","stay","p3","r6","3"
"21","102","Dual",5,"MusicFirst","return","p4","r6","2"
"22","102","Dual",6,"LangFirst","return","p2","r6","4"
"23","102","Dual",6,"MusicFirst","stay","p3","r6","3"
"24","102","Dual",5,"LangFirst","return","p4","r6","2"
"25","102","Dual",5,"MusicFirst","stay","p2","r7","5"
"26","102","Dual",4,"MusicFirst","return","p3","r7","4"
"27","102","Dual",3,"MusicFirst","stay","p4","r7","3"
"28","102","Dual",5,"MusicFirst","stay","p2","r7","5"
"29","102","Dual",4,"LangFirst","return","p3","r7","4"
"30","102","Dual",2,"MusicFirst","stay","p4","r7","3"
"31","102","Dual",3,"MusicFirst","return","p2","r8","6"
"32","102","Dual",5,"LangFirst","stay","p3","r8","5"
"33","102","Dual",3,"LangFirst","return","p4","r8","4"
"34","102","Dual",3,"LangFirst","return","p2","r8","6"
"35","102","Dual",5,"MusicFirst","stay","p3","r8","5"
"36","102","Dual",3,"MusicFirst","return","p4","r8","4"
"37","102","Dual",4,"MusicFirst","return","p2","r6","4"
"38","102","Dual",6,"LangFirst","stay","p3","r6","3"
"39","102","Dual",4,"LangFirst","return","p4","r6","2"
"40","102","Dual",5,"MusicFirst","return","p2","r6","4"
"41","102","Dual",6,"LangFirst","stay","p3","r6","3"
"42","102","Dual",5,"MusicFirst","return","p4","r6","2"
"43","102","Dual",3,"MusicFirst","stay","p2","r7","5"
"44","102","Dual",4,"LangFirst","return","p3","r7","4"
"45","102","Dual",2,"MusicFirst","stay","p4","r7","3"
"46","102","Dual",5,"MusicFirst","stay","p2","r7","5"
"47","102","Dual",0,"LangFirst","return","p3","r7","4"
"48","102","Dual",3,"LangFirst","stay","p4","r7","3"
"49","102","Dual",3,"LangFirst","return","p2","r8","6"
"50","102","Dual",4,"MusicFirst","stay","p3","r8","5"
"51","102","Dual",4,"MusicFirst","return","p4","r8","4"
"52","102","Dual",5,"LangFirst","return","p2","r8","6"
"53","102","Dual",5,"MusicFirst","stay","p3","r8","5"
"54","102","Dual",3,"LangFirst","return","p4","r8","4"
"55","102","Dual",6,"LangFirst","stay","p2","r6","4"
"56","102","Dual",5,"LangFirst","return","p3","r6","3"
"57","102","Dual",7,"LangFirst","stay","p4","r6","2"
"58","102","Dual",4,"LangFirst","stay","p2","r6","4"
"59","102","Dual",6,"MusicFirst","return","p3","r6","3"
"60","102","Dual",5,"MusicFirst","stay","p4","r6","2"
"61","102","Dual",3,"LangFirst","return","p2","r7","5"
"62","102","Dual",5,"MusicFirst","stay","p3","r7","4"
"63","102","Dual",3,"MusicFirst","return","p4","r7","3"
"64","102","Dual",5,"LangFirst","return","p2","r7","5"
"65","102","Dual",5,"MusicFirst","stay","p3","r7","4"
"66","102","Dual",3,"MusicFirst","return","p4","r7","3"
"67","102","Dual",4,"LangFirst","stay","p2","r8","6"
"68","102","Dual",3,"MusicFirst","return","p3","r8","5"
"69","102","Dual",6,"LangFirst","stay","p4","r8","4"
"70","102","Dual",5,"MusicFirst","stay","p2","r8","6"
"71","102","Dual",3,"MusicFirst","return","p3","r8","5"
"72","102","Dual",5,"LangFirst","stay","p4","r8","4"
"145","102","Music",6,"MusicFirst","return","p2","r6","4"
"146","102","Music",4,"MusicFirst","stay","p2","r6","4"
"147","102","Music",3,"MusicFirst","return","p2","r7","5"
"148","102","Music",7,"MusicFirst","stay","p2","r7","5"
"149","102","Music",2,"MusicFirst","return","p2","r8","6"
"150","102","Music",3,"MusicFirst","stay","p2","r8","6"
"151","102","Music",6,"MusicFirst","return","p3","r6","3"
"152","102","Music",5,"MusicFirst","stay","p3","r6","3"
"153","102","Music",2,"MusicFirst","return","p3","r7","4"
