"","subj","TrialIndex","TaskType","Music_resp","Lang_ACC","SentStruct","ReturnStay","PivotPlace","ReturnPlace","PivRetDist","whichfirst"
"1","102","0","Dual",5,0,"ORC","stay","p2","r6","4","LangFirst"
"2","102","1","Dual",5,1,"ORC","return","p3","r6","3","MusicFirst"
"3","102","2","Dual",6,0,"ORC","stay","p4","r6","2","MusicFirst"
"4","102","3","Dual",6,0,"ORC","stay","p2","r6","4","LangFirst"
"5","102","4","Dual",6,0,"ORC","return","p3","r6","3","MusicFirst"
"6","102","5","Dual",5,1,"ORC","stay","p4","r6","2","MusicFirst"
"7","102","6","Dual",0,1,"ORC","return","p2","r7","5","LangFirst"
"8","102","7","Dual",6,1,"ORC","stay","p3","r7","4","LangFirst"
"9","102","8","Dual",3,1,"ORC","return","p4","r7","3","LangFirst"
"10","102","9","Dual",5,1,"ORC","return","p2","r7","5","LangFirst"
"11","102","10","Dual",6,1,"ORC","stay","p3","r7","4","MusicFirst"
"12","102","11","Dual",5,1,"ORC","return","p4","r7","3","LangFirst"
"13","102","12","Dual",0,0,"ORC","stay","p2","r8","6","LangFirst"
"14","102","13","Dual",5,1,"ORC","return","p3","r8","5","LangFirst"
"15","102","14","Dual",6,1,"ORC","stay","p4","r8","4","LangFirst"
"16","102","15","Dual",5,0,"ORC","stay","p2","r8","6","MusicFirst"
"17","102","16","Dual",6,1,"ORC","return","p3","r8","5","LangFirst"
"18","102","17","Dual",6,1,"ORC","stay","p4","r8","4","LangFirst"
"19","102","18","Dual",6,1,"SE","return","p2","r6","4","MusicFirst"
"20","102","19","Dual",5,1,"SE","stay","p3","r6","3","MusicFirst"
"21","102","20","Dual",5,1,"SE","return","p4","r6","2","MusicFirst"
"22","102","21","Dual",6,1,"SE","return","p2","r6","4","LangFirst"
"23","102","22","Dual",6,1,"SE","stay","p3","r6","3","MusicFirst"
"24","102","23","Dual",5,1,"SE","return","p4","r6","2","LangFirst"
"25","102","24","Dual",5,1,"SE","stay","p2","r7","5","MusicFirst"
"26","102","25","Dual",4,1,"SE","return","p3","r7","4","MusicFirst"
"27","102","26","Dual",3,1,"SE","stay","p4","r7","3","MusicFirst"
"28","102","27","Dual",5,1,"SE","stay","p2","r7","5","MusicFirst"
"29","102","28","Dual",4,1,"SE","return","p3","r7","4","LangFirst"
"30","102","29","Dual",2,0,"SE","stay","p4","r7","3","MusicFirst"
"31","102","30","Dual",3,0,"SE","return","p2","r8","6","MusicFirst"
"32","102","31","Dual",5,1,"SE","stay","p3","r8","5","LangFirst"
"33","102","32","Dual",3,1,"SE","return","p4","r8","4","LangFirst"
"34","102","33","Dual",3,1,"SE","return","p2","r8","6","LangFirst"
"35","102","34","Dual",5,0,"SE","stay","p3","r8","5","MusicFirst"
"36","102","35","Dual",3,1,"SE","return","p4","r8","4","MusicFirst"
"37","102","36","Dual",4,0,"SRC1","return","p2","r6","4","MusicFirst"
"38","102","37","Dual",6,0,"SRC1","stay","p3","r6","3","LangFirst"
"39","102","38","Dual",4,1,"SRC1","return","p4","r6","2","LangFirst"
"40","102","39","Dual",5,1,"SRC1","return","p2","r6","4","MusicFirst"
"41","102","40","Dual",6,1,"SRC1","stay","p3","r6","3","LangFirst"
"42","102","41","Dual",5,0,"SRC1","return","p4","r6","2","MusicFirst"
"43","102","42","Dual",3,1,"SRC1","stay","p2","r7","5","MusicFirst"
"44","102","43","Dual",4,1,"SRC1","return","p3","r7","4","LangFirst"
"45","102","44","Dual",2,1,"SRC1","stay","p4","r7","3","MusicFirst"
"46","102","45","Dual",5,0,"SRC1","stay","p2","r7","5","MusicFirst"
"47","102","46","Dual",0,1,"SRC1","return","p3","r7","4","LangFirst"
"48","102","47","Dual",3,1,"SRC1","stay","p4","r7","3","LangFirst"
"49","102","48","Dual",3,1,"SRC1","return","p2","r8","6","LangFirst"
"50","102","49","Dual",4,0,"SRC1","stay","p3","r8","5","MusicFirst"
"51","102","50","Dual",4,1,"SRC1","return","p4","r8","4","MusicFirst"
"52","102","51","Dual",5,1,"SRC1","return","p2","r8","6","LangFirst"
"53","102","52","Dual",5,0,"SRC1","stay","p3","r8","5","MusicFirst"
"54","102","53","Dual",3,1,"SRC1","return","p4","r8","4","LangFirst"
"55","102","54","Dual",6,1,"SRC2","stay","p2","r6","4","LangFirst"
"56","102","55","Dual",5,0,"SRC2","return","p3","r6","3","LangFirst"
"57","102","56","Dual",7,1,"SRC2","stay","p4","r6","2","LangFirst"
"58","102","57","Dual",4,1,"SRC2","stay","p2","r6","4","LangFirst"
"59","102","58","Dual",6,1,"SRC2","return","p3","r6","3","MusicFirst"
"60","102","59","Dual",5,0,"SRC2","stay","p4","r6","2","MusicFirst"
"61","102","60","Dual",3,1,"SRC2","return","p2","r7","5","LangFirst"
"62","102","61","Dual",5,0,"SRC2","stay","p3","r7","4","MusicFirst"
"63","102","62","Dual",3,1,"SRC2","return","p4","r7","3","MusicFirst"
"64","102","63","Dual",5,0,"SRC2","return","p2","r7","5","LangFirst"
"65","102","64","Dual",5,0,"SRC2","stay","p3","r7","4","MusicFirst"
"66","102","65","Dual",3,0,"SRC2","return","p4","r7","3","MusicFirst"
"67","102","66","Dual",4,0,"SRC2","stay","p2","r8","6","LangFirst"
"68","102","67","Dual",3,0,"SRC2","return","p3","r8","5","MusicFirst"
"69","102","68","Dual",6,1,"SRC2","stay","p4","r8","4","LangFirst"
"70","102","69","Dual",5,0,"SRC2","stay","p2","r8","6","MusicFirst"
"71","102","70","Dual",3,0,"SRC2","return","p3","r8","5","MusicFirst"
"72","102","71","Dual",5,1,"SRC2","stay","p4","r8","4","LangFirst"
"217","103","0","Dual",4,1,"ORC","stay","p2","r6","4","LangFirst"
"218","103","1","Dual",5,1,"ORC","return","p3","r6","3","MusicFirst"
"219","103","2","Dual",6,1,"ORC","stay","p4","r6","2","MusicFirst"
"220","103","3","Dual",7,0,"ORC","stay","p2","r6","4","LangFirst"
"221","103","4","Dual",6,1,"ORC","return","p3","r6","3","MusicFirst"
"222","103","5","Dual",7,1,"ORC","stay","p4","r6","2","MusicFirst"
"223","103","6","Dual",7,1,"ORC","return","p2","r7","5","LangFirst"
"224","103","7","Dual",5,1,"ORC","stay","p3","r7","4","LangFirst"
"225","103","8","Dual",6,1,"ORC","return","p4","r7","3","LangFirst"
"226","103","9","Dual",5,1,"ORC","return","p2","r7","5","LangFirst"
"227","103","10","Dual",6,1,"ORC","stay","p3","r7","4","MusicFirst"
"228","103","11","Dual",3,0,"ORC","return","p4","r7","3","LangFirst"
"229","103","12","Dual",4,1,"ORC","stay","p2","r8","6","LangFirst"
"230","103","13","Dual",5,1,"ORC","return","p3","r8","5","LangFirst"
"231","103","14","Dual",6,1,"ORC","stay","p4","r8","4","LangFirst"
"232","103","15","Dual",5,1,"ORC","stay","p2","r8","6","MusicFirst"
"233","103","16","Dual",2,1,"ORC","return","p3","r8","5","LangFirst"
"234","103","17","Dual",6,0,"ORC","stay","p4","r8","4","LangFirst"
"235","103","18","Dual",6,1,"SE","return","p2","r6","4","MusicFirst"
"236","103","19","Dual",5,1,"SE","stay","p3","r6","3","MusicFirst"
"237","103","20","Dual",6,1,"SE","return","p4","r6","2","MusicFirst"
"238","103","21","Dual",7,1,"SE","return","p2","r6","4","LangFirst"
"240","103","23","Dual",5,1,"SE","return","p4","r6","2","LangFirst"
"241","103","24","Dual",6,1,"SE","stay","p2","r7","5","MusicFirst"
"242","103","25","Dual",6,1,"SE","return","p3","r7","4","MusicFirst"
"243","103","26","Dual",6,1,"SE","stay","p4","r7","3","MusicFirst"
"245","103","28","Dual",6,0,"SE","return","p3","r7","4","LangFirst"
"246","103","29","Dual",6,1,"SE","stay","p4","r7","3","MusicFirst"
"247","103","30","Dual",5,1,"SE","return","p2","r8","6","MusicFirst"
"248","103","31","Dual",5,1,"SE","stay","p3","r8","5","LangFirst"
"249","103","32","Dual",3,1,"SE","return","p4","r8","4","LangFirst"
"250","103","33","Dual",3,1,"SE","return","p2","r8","6","LangFirst"
"251","103","34","Dual",7,0,"SE","stay","p3","r8","5","MusicFirst"
"252","103","35","Dual",7,1,"SE","return","p4","r8","4","MusicFirst"
"254","103","37","Dual",3,0,"SRC1","stay","p3","r6","3","LangFirst"
"255","103","38","Dual",6,1,"SRC1","return","p4","r6","2","LangFirst"
"256","103","39","Dual",7,1,"SRC1","return","p2","r6","4","MusicFirst"
"257","103","40","Dual",6,1,"SRC1","stay","p3","r6","3","LangFirst"
"258","103","41","Dual",6,1,"SRC1","return","p4","r6","2","MusicFirst"
"259","103","42","Dual",5,1,"SRC1","stay","p2","r7","5","MusicFirst"
"260","103","43","Dual",6,1,"SRC1","return","p3","r7","4","LangFirst"
"261","103","44","Dual",6,1,"SRC1","stay","p4","r7","3","MusicFirst"
"262","103","45","Dual",5,1,"SRC1","stay","p2","r7","5","MusicFirst"
"263","103","46","Dual",5,1,"SRC1","return","p3","r7","4","LangFirst"
"264","103","47","Dual",3,1,"SRC1","stay","p4","r7","3","LangFirst"
"265","103","48","Dual",2,1,"SRC1","return","p2","r8","6","LangFirst"
"266","103","49","Dual",6,1,"SRC1","stay","p3","r8","5","MusicFirst"
"267","103","50","Dual",4,0,"SRC1","return","p4","r8","4","MusicFirst"
"268","103","51","Dual",6,1,"SRC1","return","p2","r8","6","LangFirst"
"269","103","52","Dual",6,1,"SRC1","stay","p3","r8","5","MusicFirst"
"270","103","53","Dual",6,1,"SRC1","return","p4","r8","4","LangFirst"
"271","103","54","Dual",3,1,"SRC2","stay","p2","r6","4","LangFirst"
"272","103","55","Dual",6,0,"SRC2","return","p3","r6","3","LangFirst"
"273","103","56","Dual",6,1,"SRC2","stay","p4","r6","2","LangFirst"
"275","103","58","Dual",6,1,"SRC2","return","p3","r6","3","MusicFirst"
"276","103","59","Dual",6,0,"SRC2","stay","p4","r6","2","MusicFirst"
"278","103","61","Dual",7,0,"SRC2","stay","p3","r7","4","MusicFirst"
"279","103","62","Dual",3,0,"SRC2","return","p4","r7","3","MusicFirst"
"280","103","63","Dual",2,0,"SRC2","return","p2","r7","5","LangFirst"
"281","103","64","Dual",6,1,"SRC2","stay","p3","r7","4","MusicFirst"
"282","103","65","Dual",3,0,"SRC2","return","p4","r7","3","MusicFirst"
"283","103","66","Dual",6,1,"SRC2","stay","p2","r8","6","LangFirst"
"285","103","68","Dual",6,1,"SRC2","stay","p4","r8","4","LangFirst"
"286","103","69","Dual",6,0,"SRC2","stay","p2","r8","6","MusicFirst"
"287","103","70","Dual",3,0,"SRC2","return","p3","r8","5","MusicFirst"
"288","103","71","Dual",6,1,"SRC2","stay","p4","r8","4","LangFirst"
"433","104","0","Dual",6,0,"ORC","stay","p2","r6","4","LangFirst"
"434","104","1","Dual",7,0,"ORC","return","p3","r6","3","MusicFirst"
"435","104","2","Dual",7,0,"ORC","stay","p4","r6","2","MusicFirst"
"436","104","3","Dual",5,0,"ORC","stay","p2","r6","4","LangFirst"
"437","104","4","Dual",4,1,"ORC","return","p3","r6","3","MusicFirst"
"438","104","5","Dual",6,0,"ORC","stay","p4","r6","2","MusicFirst"
"439","104","6","Dual",3,1,"ORC","return","p2","r7","5","LangFirst"
"440","104","7","Dual",7,1,"ORC","stay","p3","r7","4","LangFirst"
"441","104","8","Dual",5,1,"ORC","return","p4","r7","3","LangFirst"
"442","104","9","Dual",2,0,"ORC","return","p2","r7","5","LangFirst"
"443","104","10","Dual",6,1,"ORC","stay","p3","r7","4","MusicFirst"
"445","104","12","Dual",5,0,"ORC","stay","p2","r8","6","LangFirst"
"446","104","13","Dual",5,1,"ORC","return","p3","r8","5","LangFirst"
"447","104","14","Dual",6,1,"ORC","stay","p4","r8","4","LangFirst"
"448","104","15","Dual",7,1,"ORC","stay","p2","r8","6","MusicFirst"
"449","104","16","Dual",3,0,"ORC","return","p3","r8","5","LangFirst"
"450","104","17","Dual",7,1,"ORC","stay","p4","r8","4","LangFirst"
"451","104","18","Dual",7,1,"SE","return","p2","r6","4","MusicFirst"
"452","104","19","Dual",4,1,"SE","stay","p3","r6","3","MusicFirst"
"453","104","20","Dual",6,1,"SE","return","p4","r6","2","MusicFirst"
"454","104","21","Dual",5,1,"SE","return","p2","r6","4","LangFirst"
"455","104","22","Dual",7,1,"SE","stay","p3","r6","3","MusicFirst"
"456","104","23","Dual",5,1,"SE","return","p4","r6","2","LangFirst"
"457","104","24","Dual",4,1,"SE","stay","p2","r7","5","MusicFirst"
"458","104","25","Dual",1,1,"SE","return","p3","r7","4","MusicFirst"
"459","104","26","Dual",5,1,"SE","stay","p4","r7","3","MusicFirst"
"460","104","27","Dual",5,1,"SE","stay","p2","r7","5","MusicFirst"
"461","104","28","Dual",4,1,"SE","return","p3","r7","4","LangFirst"
"462","104","29","Dual",4,1,"SE","stay","p4","r7","3","MusicFirst"
"463","104","30","Dual",2,1,"SE","return","p2","r8","6","MusicFirst"
"464","104","31","Dual",7,1,"SE","stay","p3","r8","5","LangFirst"
"465","104","32","Dual",3,0,"SE","return","p4","r8","4","LangFirst"
"466","104","33","Dual",2,1,"SE","return","p2","r8","6","LangFirst"
"467","104","34","Dual",6,0,"SE","stay","p3","r8","5","MusicFirst"
"468","104","35","Dual",3,1,"SE","return","p4","r8","4","MusicFirst"
"469","104","36","Dual",7,1,"SRC1","return","p2","r6","4","MusicFirst"
"470","104","37","Dual",6,1,"SRC1","stay","p3","r6","3","LangFirst"
"471","104","38","Dual",4,1,"SRC1","return","p4","r6","2","LangFirst"
"472","104","39","Dual",7,1,"SRC1","return","p2","r6","4","MusicFirst"
"473","104","40","Dual",7,1,"SRC1","stay","p3","r6","3","LangFirst"
"474","104","41","Dual",4,1,"SRC1","return","p4","r6","2","MusicFirst"
"475","104","42","Dual",7,1,"SRC1","stay","p2","r7","5","MusicFirst"
"476","104","43","Dual",2,1,"SRC1","return","p3","r7","4","LangFirst"
"477","104","44","Dual",5,1,"SRC1","stay","p4","r7","3","MusicFirst"
"478","104","45","Dual",5,1,"SRC1","stay","p2","r7","5","MusicFirst"
"479","104","46","Dual",4,1,"SRC1","return","p3","r7","4","LangFirst"
"480","104","47","Dual",4,1,"SRC1","stay","p4","r7","3","LangFirst"
"481","104","48","Dual",4,1,"SRC1","return","p2","r8","6","LangFirst"
"482","104","49","Dual",5,1,"SRC1","stay","p3","r8","5","MusicFirst"
"483","104","50","Dual",4,1,"SRC1","return","p4","r8","4","MusicFirst"
"484","104","51","Dual",4,1,"SRC1","return","p2","r8","6","LangFirst"
"485","104","52","Dual",6,1,"SRC1","stay","p3","r8","5","MusicFirst"
"486","104","53","Dual",2,1,"SRC1","return","p4","r8","4","LangFirst"
"487","104","54","Dual",4,0,"SRC2","stay","p2","r6","4","LangFirst"
"488","104","55","Dual",5,1,"SRC2","return","p3","r6","3","LangFirst"
"489","104","56","Dual",7,0,"SRC2","stay","p4","r6","2","LangFirst"
"490","104","57","Dual",5,0,"SRC2","stay","p2","r6","4","LangFirst"
"491","104","58","Dual",7,1,"SRC2","return","p3","r6","3","MusicFirst"
"492","104","59","Dual",3,1,"SRC2","stay","p4","r6","2","MusicFirst"
"493","104","60","Dual",4,0,"SRC2","return","p2","r7","5","LangFirst"
"494","104","61","Dual",6,0,"SRC2","stay","p3","r7","4","MusicFirst"
"495","104","62","Dual",4,1,"SRC2","return","p4","r7","3","MusicFirst"
"496","104","63","Dual",2,0,"SRC2","return","p2","r7","5","LangFirst"
"497","104","64","Dual",7,0,"SRC2","stay","p3","r7","4","MusicFirst"
"498","104","65","Dual",3,1,"SRC2","return","p4","r7","3","MusicFirst"
"500","104","67","Dual",3,1,"SRC2","return","p3","r8","5","MusicFirst"
"501","104","68","Dual",6,0,"SRC2","stay","p4","r8","4","LangFirst"
"502","104","69","Dual",7,0,"SRC2","stay","p2","r8","6","MusicFirst"
"503","104","70","Dual",3,1,"SRC2","return","p3","r8","5","MusicFirst"
"504","104","71","Dual",6,1,"SRC2","stay","p4","r8","4","LangFirst"
"649","105","0","Dual",6,1,"ORC","stay","p2","r6","4","LangFirst"
"650","105","1","Dual",7,1,"ORC","return","p3","r6","3","MusicFirst"
"651","105","2","Dual",7,1,"ORC","stay","p4","r6","2","MusicFirst"
"652","105","3","Dual",6,1,"ORC","stay","p2","r6","4","LangFirst"
"653","105","4","Dual",7,1,"ORC","return","p3","r6","3","MusicFirst"
"654","105","5","Dual",7,1,"ORC","stay","p4","r6","2","MusicFirst"
"655","105","6","Dual",5,1,"ORC","return","p2","r7","5","LangFirst"
"657","105","8","Dual",4,1,"ORC","return","p4","r7","3","LangFirst"
"658","105","9","Dual",6,1,"ORC","return","p2","r7","5","LangFirst"
"659","105","10","Dual",7,1,"ORC","stay","p3","r7","4","MusicFirst"
"660","105","11","Dual",6,1,"ORC","return","p4","r7","3","LangFirst"
"661","105","12","Dual",7,1,"ORC","stay","p2","r8","6","LangFirst"
"663","105","14","Dual",7,0,"ORC","stay","p4","r8","4","LangFirst"
"664","105","15","Dual",5,1,"ORC","stay","p2","r8","6","MusicFirst"
"666","105","17","Dual",7,1,"ORC","stay","p4","r8","4","LangFirst"
"667","105","18","Dual",3,1,"SE","return","p2","r6","4","MusicFirst"
"668","105","19","Dual",6,1,"SE","stay","p3","r6","3","MusicFirst"
"669","105","20","Dual",6,0,"SE","return","p4","r6","2","MusicFirst"
"670","105","21","Dual",7,1,"SE","return","p2","r6","4","LangFirst"
"671","105","22","Dual",7,1,"SE","stay","p3","r6","3","MusicFirst"
"672","105","23","Dual",6,1,"SE","return","p4","r6","2","LangFirst"
"673","105","24","Dual",7,1,"SE","stay","p2","r7","5","MusicFirst"
"674","105","25","Dual",6,1,"SE","return","p3","r7","4","MusicFirst"
"675","105","26","Dual",3,1,"SE","stay","p4","r7","3","MusicFirst"
"676","105","27","Dual",7,0,"SE","stay","p2","r7","5","MusicFirst"
"677","105","28","Dual",5,1,"SE","return","p3","r7","4","LangFirst"
"678","105","29","Dual",3,1,"SE","stay","p4","r7","3","MusicFirst"
